key,Cislo_obce,Nazev_obce,Country,Kraj,Okres,Lat,Lon
554782.0,554782.0,Praha,Czechia,Praha,CZ0100,50.0874654,14.4212535
529303.0,529303.0,Benešov,Czechia,Střední Čechy,CZ0201,49.7818921,14.6869121
532568.0,532568.0,Bernartice,Czechia,Střední Čechy,CZ0201,49.675344,15.1271697
530743.0,530743.0,Bílkovice,Czechia,Střední Čechy,CZ0201,49.7598354,14.8607783
532380.0,532380.0,Blažejovice,Czechia,Střední Čechy,CZ0201,49.6200181,15.1999021
532096.0,532096.0,Borovnice,Czechia,Střední Čechy,CZ0201,49.6487323,15.0183336
532924.0,532924.0,Bukovany,Czechia,Střední Čechy,CZ0201,49.8227943,14.6242824
529451.0,529451.0,Bystřice,Czechia,Střední Čechy,CZ0201,49.7321319,14.667401
532690.0,532690.0,Ctiboř,Czechia,Střední Čechy,CZ0201,49.7366645,14.9041967
529478.0,529478.0,Čakov,Czechia,Střední Čechy,CZ0201,49.8255936,14.8363302
529486.0,529486.0,Čechtice,Czechia,Střední Čechy,CZ0201,49.6233316,15.0486116
529516.0,529516.0,Čerčany,Czechia,Střední Čechy,CZ0201,49.8529293,14.7029875
529532.0,529532.0,Červený Újezd,Czechia,Střední Čechy,CZ0201,49.5554167,14.6039224
529541.0,529541.0,Český Šternberk,Czechia,Střední Čechy,CZ0201,49.8108883,14.9281503
529567.0,529567.0,Čtyřkoly,Czechia,Střední Čechy,CZ0201,49.8685104,14.7196361
532746.0,532746.0,Děkanovice,Czechia,Střední Čechy,CZ0201,49.6185704,15.1481777
529621.0,529621.0,Divišov,Czechia,Střední Čechy,CZ0201,49.7885743,14.8756851
529648.0,529648.0,Dolní Kralovice,Czechia,Střední Čechy,CZ0201,49.6721559,15.157366
532151.0,532151.0,Drahňovice,Czechia,Střední Čechy,CZ0201,49.8224724,14.9016448
532843.0,532843.0,Dunice,Czechia,Střední Čechy,CZ0201,49.6028968,15.1532087
529702.0,529702.0,Heřmaničky,Czechia,Střední Čechy,CZ0201,49.6053065,14.5824867
532932.0,532932.0,Hradiště,Czechia,Střední Čechy,CZ0201,49.6841676,14.8487001
529737.0,529737.0,Hulice,Czechia,Střední Čechy,CZ0201,49.7096004,15.0875886
529745.0,529745.0,Hvězdonice,Czechia,Střední Čechy,CZ0201,49.872818,14.7772732
532886.0,532886.0,Chářovice,Czechia,Střední Čechy,CZ0201,49.82025,14.577861
532878.0,532878.0,Chleby,Czechia,Střední Čechy,CZ0201,49.827002,14.5568797
532045.0,532045.0,Chlístov,Czechia,Střední Čechy,CZ0201,49.8015212,14.6547167
529770.0,529770.0,Chlum,Czechia,Střední Čechy,CZ0201,49.693002,14.9957558
529788.0,529788.0,Chmelná,Czechia,Střední Čechy,CZ0201,49.6481022,14.9883521
529796.0,529796.0,Chocerady,Czechia,Střední Čechy,CZ0201,49.8729023,14.8020685
532606.0,532606.0,Choratice,Czechia,Střední Čechy,CZ0201,49.8393272,14.8746852
529818.0,529818.0,Chotýšany,Czechia,Střední Čechy,CZ0201,49.7440999,14.8145778
532037.0,532037.0,Chrášťany,Czechia,Střední Čechy,CZ0201,49.7920513,14.5819263
529842.0,529842.0,Jankov,Czechia,Střední Čechy,CZ0201,49.6531018,14.7309825
529851.0,529851.0,Javorník,Czechia,Střední Čechy,CZ0201,49.6864955,15.0265313
532134.0,532134.0,Ješetice,Czechia,Střední Čechy,CZ0201,49.5811589,14.6101231
531031.0,531031.0,Kamberk,Czechia,Střední Čechy,CZ0201,49.5969451,14.8402851
529907.0,529907.0,Keblov,Czechia,Střední Čechy,CZ0201,49.6776469,15.0718875
533084.0,533084.0,Kladruby,Czechia,Střední Čechy,CZ0201,49.7231666,14.9500494
529931.0,529931.0,Kondrac,Czechia,Střední Čechy,CZ0201,49.6668953,14.8840411
529940.0,529940.0,Kozmice,Czechia,Střední Čechy,CZ0201,49.82478,14.7960773
529958.0,529958.0,Krhanice,Czechia,Střední Čechy,CZ0201,49.8560083,14.557357
529974.0,529974.0,Krňany,Czechia,Střední Čechy,CZ0201,49.8449099,14.4765408
529991.0,529991.0,Křečovice,Czechia,Střední Čechy,CZ0201,49.7213131,14.4755313
530000.0,530000.0,Křivsoudov,Czechia,Střední Čechy,CZ0201,49.6329749,15.087361
530026.0,530026.0,Kuňovice,Czechia,Střední Čechy,CZ0201,49.658598,14.9989113
530051.0,530051.0,Lešany,Czechia,Střední Čechy,CZ0201,49.8444734,14.5247767
530069.0,530069.0,Libež,Czechia,Střední Čechy,CZ0201,49.7574191,14.9167679
532258.0,532258.0,Litichovice,Czechia,Střední Čechy,CZ0201,49.782931,14.8505725
530093.0,530093.0,Loket,Czechia,Střední Čechy,CZ0201,49.6554898,15.1168908
530107.0,530107.0,Louňovice pod Blaníkem,Czechia,Střední Čechy,CZ0201,49.6371536,14.8470198
532193.0,532193.0,Lštění,Czechia,Střední Čechy,CZ0201,49.864282,14.7142648
530115.0,530115.0,Maršovice,Czechia,Střední Čechy,CZ0201,49.7135659,14.5645097
530158.0,530158.0,Mezno,Czechia,Střední Čechy,CZ0201,49.5345175,14.644936
530166.0,530166.0,Miličín,Czechia,Střední Čechy,CZ0201,49.570689,14.6614051
530174.0,530174.0,Miřetice,Czechia,Střední Čechy,CZ0201,49.6589345,14.9767461
530191.0,530191.0,Mnichovice,Czechia,Střední Čechy,CZ0201,49.668605,15.0395834
530204.0,530204.0,Mrač,Czechia,Střední Čechy,CZ0201,49.8296504,14.6905103
530212.0,530212.0,Načeradec,Czechia,Střední Čechy,CZ0201,49.6103317,14.9060072
530263.0,530263.0,Nespeky,Czechia,Střední Čechy,CZ0201,49.8593079,14.6593577
530298.0,530298.0,Netvořice,Czechia,Střední Čechy,CZ0201,49.8158249,14.5182129
530301.0,530301.0,Neustupov,Czechia,Střední Čechy,CZ0201,49.6150018,14.6985996
530310.0,530310.0,Neveklov,Czechia,Střední Čechy,CZ0201,49.7535324,14.5334154
530344.0,530344.0,Olbramovice,Czechia,Střední Čechy,CZ0201,49.67269,14.6384494
