Cislo_obce,Nazev_obce_prijmy,DPH,DNV,DPPO,DPFO,DPFO_srazkou,DPFO_zavisla_c,DPFO_zavisla_h,Lat,Lon
500011,ŽELECHOVICE NAD DŘEVNICÍ,1742064.59,12097.05,211870.29,30878.82,111333.2,672555.01,36523.69,49.2178513,17.7461278
500020,PETROV NAD DESNOU,875158.65,79634.48,106437.0,15512.55,55930.31,337870.55,14209.81,50.0054388,17.044275
500046,LIBHOŠŤ,1334108.86,5141.58,162254.61,23647.64,85261.26,515056.45,6683.36,49.6274511,18.0762564
500062,KRHOVÁ,1577379.55,,191841.26,27959.71,100808.38,608975.43,11578.48,49.4940693,18.0076772
500071,POLIČNÁ,1425135.2,23977.53,173325.27,25261.13,91078.64,550198.79,14997.46,49.467984,17.9478693
500101,BRAŽEC,223932.23,666.0,27234.69,3969.29,14311.23,86453.01,2736.36,50.1746338,13.0466291
500127,DOUPOVSKÉ HRADIŠTĚ,185132.08,994.0,22515.81,3281.54,11831.57,71473.53,4262.07,50.2354421,13.0108231
500135,KOZLOV,312125.56,,37960.77,5532.56,19947.56,120501.62,5315.19,49.6036273,17.5356541
500151,LUBOMĚŘ POD STRÁŽNOU,124406.79,,15130.38,2205.17,7950.68,48029.46,2001.22,49.6891192,17.6637449
500160,MĚSTO LIBAVÁ,581016.66,,70663.38,10298.77,37132.05,224311.82,20365.16,49.721889,17.520088
500194,POLNÁ NA ŠUMAVĚ,228859.23,,27833.92,4056.62,14626.11,88355.17,16946.18,48.7992855,14.1470314
500259,VEŘOVICE,1597949.78,,194343.01,28324.32,102123.0,616916.93,23314.47,49.539165,18.1142521
500291,VŘESINA,2136717.41,14423.91,259868.05,37874.22,136554.97,824917.75,14419.84,49.8239079,18.125592
500496,OLOMOUC,92550891.44,2086760.66,11256060.2,1640503.44,5914813.52,35730917.58,5034684.26,49.5940567,17.251143
500526,BĚLKOVICE-LAŠŤANY,1790102.85,11901.73,217712.71,31730.32,114403.27,691101.04,9734.78,49.6697764,17.3181635
500623,BÍLÁ LHOTA,1066819.0,1909.78,129746.78,18909.81,68179.08,411864.45,8366.6,49.7095303,16.975074
500801,BLATEC,497380.8,12069.1,60491.56,8816.28,31786.99,192022.7,4842.59,49.5283995,17.2377312
500852,BOHUŇOVICE,2185987.41,13654.32,265860.27,38747.54,139703.76,843939.31,44785.27,49.6628901,17.2863707
500861,BOUZOV,1378575.04,32118.63,167662.61,24435.82,88103.03,532223.41,11525.96,49.7042923,16.8928546
500879,BYSTROČICE,703822.18,348.0,85599.01,12475.54,44980.41,271723.07,4367.08,49.5362482,17.1935195
501476,DLOUHÁ LOUČKA,1672593.86,7042.75,203421.25,29647.42,106893.41,645734.61,15157.91,49.8160707,17.178642
501646,DOLANY,2598131.1,11314.11,315985.29,46052.96,166043.35,1003054.72,24102.13,49.6500055,17.3203533
501751,DRAHANOVICE,1409738.32,17998.34,171452.69,24988.2,90094.64,544254.55,10735.4,49.5785573,17.0770128
501794,DUB NAD MORAVOU,1471572.18,7615.34,178972.94,26084.23,94046.37,568126.61,15577.99,49.4824865,17.2772326
501841,GRYGOV,1204405.53,2111.36,146480.07,21348.59,76972.07,464982.17,22523.91,49.5376286,17.310008
502146,HLUBOČKY,3437076.29,96684.71,418017.99,60923.63,219659.32,1326944.43,135776.49,49.6280891,17.4024155
502235,HNĚVOTÍN,1571959.85,39042.72,191182.11,27863.65,100462.02,606883.06,75203.19,49.572698,17.1805004
502405,HNOJICE,501076.06,47254.67,60940.98,8881.79,32023.15,193449.32,5315.19,49.7155507,17.2243226
502545,HORKA NAD MORAVOU,2370134.11,10241.57,288256.25,42011.62,151472.35,915032.42,25050.23,49.6400872,17.2106994
502839,CHOLINA,604173.56,6771.81,73479.73,10709.22,38611.99,233251.95,5735.27,49.6560994,17.0544072
