Okres,Cislo_obce,Nazev_obce,Total,Men,Women,Total.1,Men.1,Women.1,Country,Lat,Lon,Kraj,Nejblizsi_nemocnice,Vzdalenost_km
CZ0100,554782.0,Praha,1397880.0,679162.0,718718.0,41.86489541305405,40.35619778491729,43.290559023149555,Czechia,50.0874654,14.4212535,Praha,Nemocnice Na Františku,0.5479457097582942
CZ0201,529303.0,Benešov,17043.0,8058.0,8985.0,43.878630522795284,42.23628691983122,45.35153032832498,Czechia,49.7818921,14.6869121,Střední Čechy,Nemocnice Rudolfa a Stefanie Benešov,0.832028218170707
CZ0201,532568.0,Bernartice,223.0,102.0,121.0,45.172645739910315,46.029411764705884,44.450413223140494,Czechia,49.675344,15.1271697,Střední Čechy,Nemocnice Humpolec,22.718977107419256
CZ0201,530743.0,Bílkovice,225.0,113.0,112.0,45.78,45.597345132743364,45.964285714285715,Czechia,49.7598354,14.8607783,Střední Čechy,Nemocnice Rudolfa a Stefanie Benešov,13.354381242454398
CZ0201,532380.0,Blažejovice,102.0,50.0,52.0,49.84313725490196,47.78,51.82692307692308,Czechia,49.6200181,15.1999021,Střední Čechy,Nemocnice Humpolec,14.763069460177414
CZ0201,532096.0,Borovnice,91.0,42.0,49.0,41.247252747252745,38.333333333333336,43.744897959183675,Czechia,49.6487323,15.0183336,Střední Čechy,Nemocnice Humpolec,27.638520539105873
CZ0201,532924.0,Bukovany,824.0,429.0,395.0,41.00364077669903,40.7027972027972,41.33037974683544,Czechia,49.8227943,14.6242824,Střední Čechy,Nemocnice Rudolfa a Stefanie Benešov,5.5710602078914
CZ0201,529451.0,Bystřice,4698.0,2361.0,2337.0,42.07130693912303,41.10271071579839,43.04985023534446,Czechia,49.7321319,14.667401,Střední Čechy,Nemocnice Rudolfa a Stefanie Benešov,6.263441179380401
CZ0201,532690.0,Ctiboř,179.0,86.0,93.0,35.81843575418994,37.674418604651166,34.10215053763441,Czechia,49.7366645,14.9041967,Střední Čechy,Nemocnice Rudolfa a Stefanie Benešov,17.083978178438795
CZ0201,529478.0,Čakov,131.0,67.0,64.0,38.33206106870229,36.14179104477612,40.625,Czechia,49.8255936,14.8363302,Střední Čechy,Nemocnice Rudolfa a Stefanie Benešov,11.980275197809625
CZ0201,529486.0,Čechtice,1430.0,706.0,724.0,43.68601398601399,42.8371104815864,44.51381215469613,Czechia,49.6233316,15.0486116,Střední Čechy,Nemocnice Humpolec,24.494678839369108
CZ0201,529516.0,Čerčany,3133.0,1542.0,1591.0,41.82397063517396,40.878080415045396,42.74072910119422,Czechia,49.8529293,14.7029875,Střední Čechy,Nemocnice Rudolfa a Stefanie Benešov,7.420222104806569
CZ0201,529532.0,Červený Újezd,344.0,167.0,177.0,42.991279069767444,43.28443113772455,42.71468926553672,Czechia,49.5554167,14.6039224,Střední Čechy,Nemocnice Tábor,15.83528016891465
CZ0201,529541.0,Český Šternberk,184.0,91.0,93.0,44.380434782608695,45.18131868131868,43.596774193548384,Czechia,49.8108883,14.9281503,Střední Čechy,Nemocnice Rudolfa a Stefanie Benešov,17.99683046120502
CZ0201,529567.0,Čtyřkoly,800.0,393.0,407.0,41.4825,41.090330788804074,41.86117936117936,Czechia,49.8685104,14.7196361,Střední Čechy,Nemocnice Rudolfa a Stefanie Benešov,9.407398597279212
CZ0201,532746.0,Děkanovice,62.0,32.0,30.0,45.75806451612903,45.40625,46.13333333333333,Czechia,49.6185704,15.1481777,Střední Čechy,Nemocnice Humpolec,17.795074486325916
CZ0201,529621.0,Divišov,1831.0,937.0,894.0,41.84188967777171,39.62700106723586,44.16331096196868,Czechia,49.7885743,14.8756851,Střední Čechy,Nemocnice Rudolfa a Stefanie Benešov,14.051853397745862
CZ0201,529648.0,Dolní Kralovice,907.0,454.0,453.0,44.705071664829106,42.59471365638767,46.82008830022075,Czechia,49.6721559,15.157366,Střední Čechy,Nemocnice Humpolec,20.89043162274236
CZ0201,532151.0,Drahňovice,111.0,59.0,52.0,37.0945945945946,34.483050847457626,40.05769230769231,Czechia,49.8224724,14.9016448,Střední Čechy,Nemocnice Rudolfa a Stefanie Benešov,16.368227095427844
CZ0201,532843.0,Dunice,66.0,37.0,29.0,45.484848484848484,43.41891891891892,48.12068965517241,Czechia,49.6028968,15.1532087,Střední Čechy,Nemocnice Humpolec,16.67612729522233
CZ0201,529702.0,Heřmaničky,743.0,370.0,373.0,43.30080753701211,43.2972972972973,43.30428954423593,Czechia,49.6053065,14.5824867,Střední Čechy,Nemocnice Sedlčany,12.733084257535754
CZ0201,532932.0,Hradiště,35.0,22.0,13.0,47.614285714285714,42.95454545454545,55.5,Czechia,49.6841676,14.8487001,Střední Čechy,Nemocnice Rudolfa a Stefanie Benešov,16.734799324332734
CZ0201,529737.0,Hulice,277.0,130.0,147.0,46.14620938628159,44.39230769230769,47.697278911564624,Czechia,49.7096004,15.0875886,Střední Čechy,Nemocnice Humpolec,27.392469003126486
