"rok_platnosti","icz_nazev","ico","icz","okres","typsub","STAN","JIP","LDN","OSET","OLU","HOSP","NIP","DIOP","pocet_od_akutni_stan","pocet_od_akutni_int","pocet_od_nasledna"
2011,"HVĚZDA z.ú.","70829560","82072000","CZ0724","LZ hospicového typu poskytující paliativní péči",0,0,0,14,0,0,0,0,0,0,3868
2011,"ADP - SANCO s.r.o.","27685934","78004000","CZ0713","Nemocnice následné (ošetřovatelské) péče",0,0,0,30,0,0,0,0,0,0,14804
2011,"AESKULAP spol. s r.o.","60913266","70006000","CZ0534","Léčebna pro dlouhodobě nemocné (LDN)",0,0,81,0,0,0,0,0,0,0,24247
2011,"AGEL Středomoravská nemocniční a.s.","27797660","78006000","CZ0713","Nemocnice",848,86,0,0,0,0,10,0,260699,29814,81
2011,"AGEL Středomoravská nemocniční a.s.","27797660","78007000","CZ0713","Léčebna pro dlouhodobě nemocné (LDN)",0,0,197,0,0,0,0,0,0,0,75216
2011,"AHC Centrum následné péče Sedlec-Prčice","25579282","20110000","CZ020B","Léčebna pro dlouhodobě nemocné (LDN)",0,0,110,0,0,0,0,0,0,0,25940
2011,"AHC Centrum následné péče Trutnov s.r.o.","10913416","69006000","CZ0525","Nemocnice následné (ošetřovatelské) péče",0,0,0,30,0,0,0,0,0,0,8691
2011,"AHC Nemocnice Duchcov s.r.o.","61537713","58102000","CZ0426","Nemocnice",75,5,0,0,0,0,0,0,19894,953,167
2011,"AHC Nemocnice Duchcov s.r.o.","61537713","58535000","CZ0426","Nemocnice následné (ošetřovatelské) péče",0,0,0,48,0,0,0,0,0,0,13146
2011,"AHC Rehabilitační centrum Meziboří s.r.o","47283661","57541000","CZ0425","Nemocnice následné (ošetřovatelské) péče",0,0,0,0,46,0,0,0,0,0,15922
2011,"ALBERTINUM,odborný léčebný ústav,Žamberk","00196096","70008000","CZ0534","Odborné léčebné ústavy",0,0,0,0,142,0,0,0,0,0,36787
2011,"ALBERTINUM,odborný léčebný ústav,Žamberk","00196096","70058000","CZ0534","Léčebna pro dlouhodobě nemocné (LDN)",0,0,70,0,0,0,0,0,0,0,23005
2011,"ALMEDA, a.s.","25079174","25310000","CZ0206","Nemocnice",92,5,0,0,0,0,0,0,13131,1732,26
2011,"ALMEDA, a.s.","25079174","25312000","CZ0206","Samostatné lůžkové zařízení s péčí DIP, NIOP, NIP",0,0,0,0,0,0,12,0,0,0,3973
2011,"AMICA CENTRUM s.r.o.","18233392","41281000","CZ0411","Léčebna pro dlouhodobě nemocné (LDN)",0,0,0,120,0,0,0,0,0,0,36053
2011,"ANESAN, s.r.o.","61677540","23111000","CZ0204","Samostatné lůžkové zařízení s péčí DIP, NIOP, NIP",0,0,0,0,0,0,15,0,0,0,3540
2011,"BH - Nemocnice Vimperk a.s.","29015839","37105000","CZ0315","Léčebna pro dlouhodobě nemocné (LDN)",0,0,60,0,0,0,0,0,0,0,17538
2011,"BMI Chirurgie, a.s.","25314394","72834000","CZ0642","Nemocnice",11,0,0,0,0,0,0,0,964,0,0
2011,"Bohumínská městská nemocnice, a.s.","26834022","87003000","CZ0803","Nemocnice",94,9,25,70,0,0,0,0,21652,3364,17990
2011,"Bílovecká nemocnice, a.s.","26865858","88015000","CZ0804","Nemocnice",72,6,0,0,0,0,0,0,19086,2752,0
2011,"Bílovecká nemocnice, a.s.","26865858","88016000","CZ0804","Léčebna pro dlouhodobě nemocné (LDN)",0,0,80,0,0,0,0,0,0,0,27641
2011,"CARVAC s.r.o.","63504260","41182000","CZ0411","Léčebna pro dlouhodobě nemocné (LDN)",0,0,0,70,0,0,0,0,0,0,30882
2011,"CLINICUM a.s.","25093126","09001000","CZ0100","Samostatná ordinace lékaře specialisty",15,0,0,48,0,0,0,0,10511,1942,16322
2011,"CNS-CENTRUM TŘINEC s.r.o.","26816407","86112000","CZ0802","Nemocnice",42,0,0,0,0,0,0,0,13025,0,0
2011,"Centrum kardiovaskulární a TCH Brno","00209775","72932000","CZ0642","Nemocnice",59,34,0,0,0,0,0,0,15250,9927,0
2011,"Centrum léčby pohybového aparátu, s.r.o.","26432471","09438000","CZ0100","Nemocnice",33,0,0,0,0,0,0,0,5233,0,0
2011,"Charita Ostrava - Hospic sv. Lukáše","44940998","91997300","CZ0806","LZ hospicového typu poskytující paliativní péči",0,0,0,0,0,30,0,0,0,0,7514
2011,"DOP - HC s.r.o.","26356589","48004000","CZ0413","Léčebna pro dlouhodobě nemocné (LDN)",0,0,82,0,0,0,0,0,0,0,32261
2011,"Diakonie Valašské Meziříčí","73632783","94203000","CZ0723","Nemocnice následné (ošetřovatelské) péče",0,0,0,8,0,15,0,0,0,0,7171
2011,"Diecézní charita Brno,OCH Rajhrad","44990260","73006000","CZ0643","LZ hospicového typu poskytující paliativní péči",0,0,0,0,0,50,0,0,0,0,13974
2011,"Dlouhodobá intenzivní oš. péče","05212146","31500000","CZ020C","Samostatné lůžkové zařízení s péčí DIP, NIOP, NIP",0,0,0,0,0,0,0,10,0,0,3002
2011,"Domažlická nemocnice, a.s.","26361078","40001000","CZ0321","Nemocnice",142,10,0,0,0,0,0,0,40537,2951,0
2011,"Domažlická nemocnice, a.s. - LDN","26361078","40501000","CZ0321","Léčebna pro dlouhodobě nemocné (LDN)",0,0,50,0,0,0,0,0,0,0,15601
