Rok,IČO,Název IČO,IČZ,Název IČZ,IČP,Název IČP,"Kód nasmlouvané odbornosti",Název odbornosti,Typ nasmlouvané odbornosti,"Kód ZP",Parametr,"Hodnota 2023"
2023,00842052,Dětská psychiatrická nemocnice Velká Bíteš,84420000,Dětská psychiatrická nemocnice,00000001,dětská a dorostová psychiatrie,3U6,dlouhodobá LP dětské a dorostové psychiatrie - typ U,H,201,Počet lůžek,x
2023,00842052,Dětská psychiatrická nemocnice Velká Bíteš,84420000,Dětská psychiatrická nemocnice,00000001,dětská a dorostová psychiatrie,3U6,dlouhodobá LP dětské a dorostové psychiatrie - typ U,H,201,Počet OD,x
2023,17809193,Nemocnice Milosrdných sester sv. Vincence de Paul s.r.o.,77910000,Nem. Milos. sester sv. Vincence de Paul,00406481,Česká provincie Kongregace Milosrdnýc,9U7,následná lůžková péče,H,207,Počet lůžek,x
2023,17809193,Nemocnice Milosrdných sester sv. Vincence de Paul s.r.o.,77910000,Nem. Milos. sester sv. Vincence de Paul,00406481,Česká provincie Kongregace Milosrdnýc,9U7,následná lůžková péče,H,207,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002011,JIP,1T1,intenzivní LP vnitřního lékařství - interny - typ T,H,201,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002011,JIP,1I1,intenzivní LP vnitřního lékařství - interny - typ I,V,205,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002011,JIP,1I1,intenzivní LP vnitřního lékařství - interny - typ I,,201,Počet OD,172
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002011,JIP,1I1,intenzivní LP vnitřního lékařství - interny - typ I,H,207,Počet lůžek,5
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002011,JIP,1I1,intenzivní LP vnitřního lékařství - interny - typ I,,213,Počet OD,5
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002011,JIP,1I1,intenzivní LP vnitřního lékařství - interny - typ I,H,207,Počet OD,231
