Nazev,Adresa_plna,Popis,Lon,Lat,Group_ID,Marker_Color,Marker_Symbol,URL,Feature_ID,Zrizovatel,Pocet_luzek,Pocet_lekaru,Pocet_sester,Pocet_hospitalizaci,Pocet_ambulantnich_vysetreni
Bohumínská městská nemocnice,"Bohumínská městská nemocnice, Slezská, 735 81 Bohumín, Czechia","Zřizovatel: obec 
Počet lůžek: 109 
Počet lékařů: 35 
Počet sester: 110 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",18.336876,49.917809,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=149748&typ=UPLNY,1619207901,obec,109,35,110,/,/
Domažlická nemocnice,"Domažlická nemocnice, Kozinova 292, 344 01 Domažlice, Czechia","Zřizovatel: kraj 
Počet lůžek: 200 
Počet lékařů: 41 
Počet sester: 149 
Počet hospitalizací: 7014 
Počet ambulantních vyšetření: 46299",12.90792,49.438053,3591367076,#b63681,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=157680&typ=UPLNY,3502829205,kraj,200,41,149,7014,46299
Duchcov - Městská nemocnice,"Duchcov - Městská nemocnice, Osecká, 419 01 Duchcov, Czechia","Zřizovatel: soukromý vlastník - Duchcovská zdravotní s.r.o.
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",13.741893,50.609628,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=690196&typ=UPLNY,1827812979,soukromý vlastník - Duchcovská zdravotní s.r.o.,/,/,/,/,/
EUC Klinika Zlín,"EUC Klinika Zlín, třída Tomáše Bati 5135, 760 01 Zlín, Czechia","Zřizovatel: soukromý vlastník - Jan Blaško
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",17.656966,49.222681,2799177597,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=63199&typ=UPLNY,3325611371,soukromý vlastník - Jan Blaško,/,/,/,/,/
FN Ostrava,"FN Ostrava, K Myslivně, 708 33 Ostrava, Czechia","Zřizovatel: Ministerstvo zdravotnictví Počet lůžek: 1127 
Počet lékařů: 540 
Počet sester: 1335 
Počet hospitalizací: 44966 
Počet ambulantních vyšetření: 611853",18.157785,49.828179,2744332045,#005e38,hotel,,2213739327,Ministerstvo zdravotnictví Počet lůžek: 1127,1127,540,1335,44966,611853
Fakultní nemocnice,"Fakultní nemocnice, Sokolská, 500 02 Hradec Králové, Czechia","Zřizovatel: Ministerstvo zdravotnictví Počet lůžek: 1375 
Počet lékařů: 811 
Počet sester: 2252 
Počet hospitalizací: 40676 
Počet ambulantních vyšetření: 722100",15.825911,50.202092,4105445865,#cc1b15,hotel,,3605437893,Ministerstvo zdravotnictví Počet lůžek: 1375,1375,811,2252,40676,722100
Fakultní nemocnice Brno - Bohunice,"Fakultní nemocnice Brno - Bohunice, Kamenice, 625 00 Brno, Czechia","Zřizovatel: Ministerstvo zdravotnictví Počet lůžek: 1908 
Počet lékařů: 955 
Počet sester: 2686 
Počet hospitalizací: 67097 
Počet ambulantních vyšetření: 1086799",16.57375,49.175416,2451465079,#e32c31,hotel,,1361253869,Ministerstvo zdravotnictví Počet lůžek: 1908,1908,955,2686,67097,1086799
Fakultní nemocnice Královské Vinohrady,"Fakultní nemocnice Královské Vinohrady, Ruská, 100 42 Prague, Czechia","Zřizovatel: Ministerstvo zdravotnictví Počet lůžek: 1038 
Počet lékařů: 460 
Počet sester: 1234 
Počet hospitalizací: 52276 
Počet ambulantních vyšetření: /",14.478949,50.074603,1020388458,#444444,hotel,,3293451617,Ministerstvo zdravotnictví Počet lůžek: 1038,1038,460,1234,52276,/
Fakultní nemocnice Olomouc,"Fakultní nemocnice Olomouc, Za nemocnicí, 783 01 Olomouc, Czechia","Zřizovatel: ministerstvo zdravotnictví Počet lůžek: 1174 
Počet lékařů: 747 
Počet sester: 1467 
Počet hospitalizací: 52870 
Počet ambulantních vyšetření: 872864",17.237322,49.583743,465184557,,hotel,,3193243011,ministerstvo zdravotnictví Počet lůžek: 1174,1174,747,1467,52870,872864
Fakultní nemocnice Plzeň,"Fakultní nemocnice Plzeň, Edvarda Beneše, 301 00 Plzeň, Czechia","Zřizovatel: Ministerstvo zdravotnictví Počet lůžek: 1731 
Počet lékařů: 899 
Počet sester: 1598 
Počet hospitalizací: 70331 
Počet ambulantních vyšetření: 1 014 642",13.376136,49.733037,3591367076,#b63681,hotel,,1354933967,Ministerstvo zdravotnictví Počet lůžek: 1731,1731,899,1598,70331,1 014 642
Fakultní nemocnice u sv. Anny v Brně,"Fakultní nemocnice u sv. Anny v Brně, Pekařská 664/53, 602 00 Brno, Czechia","Zřizovatel: Ministerstvo zdravotnictví Počet lůžek: 886 
Počet lékařů: 404
 Počet sester: 951 
Počet hospitalizací: 26971 
Počet ambulantních vyšetření: /",16.598755,49.191306,2451465079,#e32c31,hotel,,1636962834,Ministerstvo zdravotnictví Počet lůžek: 886,886,404,951,26971,/
Hornická nemocnice s poliklinikou,"Hornická nemocnice s poliklinikou, 257, 418 01 Bílina, Czechia","Zřizovatel: obec 
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",13.78446,50.54123,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=703087&typ=UPLNY,1644126947,obec,/,/,/,/,/
Hustopeče - Městská nemocnice,"Hustopeče - Městská nemocnice, Hybešova, 693 01 Hustopeče, Czechia","Zřizovatel: kraj 
Počet lůžek: 119 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",16.729111,48.945156,2451465079,#e32c31,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=903315&typ=UPLNY,2315793200,kraj,119,/,/,/,/
Jesenická nemocnice,"Jesenická nemocnice, Tyršova, 790 01 Jeseník, Czechia","Zřizovatel: soukromý vlastník - AGEL a.s.
Počet lůžek: / 
Počet lékařů: /
Počet sester: / 
Počet hospitalizací: /
Počet ambulantních vyšetření: /",17.198164,50.228239,465184557,,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=209942&typ=UPLNY,2044819038,soukromý vlastník - AGEL a.s.,/,/,/,/,/
Karlovarská krajská nemocnice a.s.,"Karlovarská krajská nemocnice a.s., Bezručova, 360 09 Carlsbad, Czechia","Zřizovatel: kraj
 Počet lůžek: 394 
Počet lékařů: 172 
Počet sester: 554 
Počet hospitalizací: 26403 
Počet ambulantních vyšetření: 138302",12.875501,50.233093,3640402910,#2a4ea1,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=710124&typ=UPLNY,4216836159,kraj,394,172,554,26403,138302
Karvinská hornická nemocnice a.s.,"Karvinská hornická nemocnice a.s., Zakladatelská, 735 06 Karviná, Czechia","Zřizovatel: soukromý vlastník - Milan Canibal
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",18.540292,49.869438,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=206474&typ=UPLNY,1386525607,soukromý vlastník - Milan Canibal,/,/,/,/,/
