Cislo_obce,Nazev_obce_prijmy,DPH,DNV,DPPO,DPFO,DPFO_srazkou,DPFO_zavisla_c,DPFO_zavisla_h,Lat_x,Lon_x,Okres_x,Nazev_obce,Total,Men,Women,avg_age,avg_age_Men,avg_age_Women,Country,Lat_y,Lon_y,Kraj,Nejblizsi_nemocnice,Vzdalenost_km,Okres_y,Obec,age_0_14_total,age_0_14_men,age_0_14_women,age_15_64_total,age_15_64_men,age_15_64_women,age_65_plus_total,age_65_plus_men,age_65_plus_women,Prumerny_vek_celkem,Prumerny_vek_muzi,Prumerny_vek_zeny,Index_stari,Kod_Okresu,key,Druha_nejblizsi_nemocnice,Vzdalenost_druha_km
500011,ŽELECHOVICE NAD DŘEVNICÍ,1742064.59,12097.05,211870.29,30878.82,111333.2,672555.01,36523.69,49.2178513,17.7461278,CZ0724,Želechovice nad Dřevnicí,1859.0,919.0,940.0,45.980903711672944,43.88520130576714,48.02978723404255,Czechia,49.2178513,17.7461278,Střední Morava,Krajská nemocnice Tomáše Bati,3.647937441399797,Okres Zlín,Želechovice nad Dřevnicí,13.34050565,14.25462459,12.44680851,62.61430877,66.15886834,59.14893617,24.04518558,19.58650707,28.40425532,45.98090371,43.88520131,48.02978723,180.2419355,CZ0724,500011.0,EUC Klinika Zlín,6.497809368888437
500020,PETROV NAD DESNOU,875158.65,79634.48,106437.0,15512.55,55930.31,337870.55,14209.81,50.0054388,17.044275,CZ0715,Petrov nad Desnou,1237.0,621.0,616.0,44.03759094583671,42.98792270531401,45.09577922077922,Czechia,50.0054388,17.044275,Střední Morava,Šumperská nemocnice,7.640729963471424,Okres Šumperk,Petrov nad Desnou,14.95553759,15.2979066,14.61038961,61.43896524,64.41223833,58.44155844,23.60549717,20.28985507,26.94805195,44.03759095,42.98792271,45.09577922,157.8378378,CZ0715,500020.0,Jesenická nemocnice,27.095326273839497
500046,LIBHOŠŤ,1334108.86,5141.58,162254.61,23647.64,85261.26,515056.45,6683.36,49.6274511,18.0762564,CZ0804,Libhošť,1756.0,880.0,876.0,42.28473804100228,41.17159090909091,43.40296803652968,Czechia,49.6274511,18.0762564,Moravskoslezsko,Nemocnice Nový Jičín,5.977027952747742,Okres Nový Jičín,Libhošť,17.53986333,17.72727273,17.35159817,61.50341686,63.52272727,59.47488584,20.95671982,18.75,23.17351598,42.28473804,41.17159091,43.40296804,119.4805195,CZ0804,500046.0,Nemocnice Bílovec,15.654932780879307
500062,KRHOVÁ,1577379.55,,191841.26,27959.71,100808.38,608975.43,11578.48,49.4940693,18.0076772,CZ0723,Krhová,2161.0,1081.0,1080.0,42.56987505784359,40.840425531914896,44.30092592592592,Czechia,49.4940693,18.0076772,Střední Morava,Nemocnice Valašské Meziříčí,4.111246048817367,Okres Vsetín,Krhová,16.01110597,17.94634598,14.07407407,63.95187413,64.66234968,63.24074074,20.0370199,17.39130435,22.68518519,42.56987506,40.84042553,44.30092593,125.1445087,CZ0723,500062.0,Nemocnice Nový Jičín,10.667288502260362
500071,POLIČNÁ,1425135.2,23977.53,173325.27,25261.13,91078.64,550198.79,14997.46,49.467984,17.9478693,CZ0723,Poličná,1769.0,902.0,867.0,44.1280384397965,42.53880266075388,45.78143021914648,Czechia,49.467984,17.9478693,Střední Morava,Nemocnice Valašské Meziříčí,2.182197414924672,Okres Vsetín,Poličná,14.98021481,14.96674058,14.99423299,63.14301865,65.41019956,60.78431373,21.87676653,19.62305987,24.22145329,44.12803844,42.53880266,45.78143022,146.0377358,CZ0723,500071.0,Nemocnice Nový Jičín,14.437017862738006
500101,BRAŽEC,223932.23,666.0,27234.69,3969.29,14311.23,86453.01,2736.36,50.1746338,13.0466291,CZ0412,Bražec,263.0,158.0,105.0,39.245247148288975,40.20253164556962,37.804761904761904,Czechia,50.1746338,13.0466291,Severozápad,Karlovarská krajská nemocnice a.s.,13.805512884129705,Okres Karlovy Vary,Bražec,17.11026616,13.92405063,21.9047619,68.82129278,71.51898734,64.76190476,14.06844106,14.55696203,13.33333333,39.24524715,40.20253165,37.8047619,82.22222222,CZ0412,500101.0,Nemocnice Ostrov,16.385451322685277
500127,DOUPOVSKÉ HRADIŠTĚ,185132.08,994.0,22515.81,3281.54,11831.57,71473.53,4262.07,50.2354421,13.0108231,CZ0412,Doupovské Hradiště,163.0,92.0,71.0,40.92331288343559,41.93478260869565,39.61267605633803,Czechia,50.2354421,13.0108231,Severozápad,Nemocnice Ostrov,9.160030549370676,Okres Karlovy Vary,Doupovské Hradiště,17.17791411,13.04347826,22.53521127,66.87116564,71.73913043,60.56338028,15.95092025,15.2173913,16.90140845,40.92331288,41.93478261,39.61267606,92.85714286,CZ0412,500127.0,Karlovarská krajská nemocnice a.s.,9.628441125448703
500135,KOZLOV,312125.56,,37960.77,5532.56,19947.56,120501.62,5315.19,49.6036273,17.5356541,CZ0712,Kozlov,266.0,138.0,128.0,43.2593984962406,42.971014492753625,43.5703125,Czechia,49.6036273,17.5356541,Střední Morava,Nemocnice Hranice,16.16018205734923,Okres Olomouc,Kozlov,14.28571429,14.49275362,14.0625,69.54887218,70.28985507,68.75,16.16541353,15.2173913,17.1875,43.2593985,42.97101449,43.5703125,113.1578947,CZ0712,500135.0,Nemocnice Přerov,16.85323146675747
500151,LUBOMĚŘ POD STRÁŽNOU,124406.79,,15130.38,2205.17,7950.68,48029.46,2001.22,49.6891192,17.6637449,CZ0714,Luboměř pod Strážnou,116.0,64.0,52.0,44.46551724137931,43.125,46.11538461538461,Czechia,49.6891192,17.6637449,Střední Morava,Městská nemocnice v Odrách,12.103488758683415,Okres Přerov,Luboměř pod Strážnou,13.79310345,15.625,11.53846154,65.51724138,62.5,69.23076923,20.68965517,21.875,19.23076923,44.46551724,43.125,46.11538462,150,CZ0714,500151.0,Nemocnice Hranice,16.0269819571079
500160,MĚSTO LIBAVÁ,581016.66,,70663.38,10298.77,37132.05,224311.82,20365.16,49.721889,17.520088,CZ0712,Město Libavá,560.0,306.0,254.0,42.975,41.3921568627451,44.881889763779526,Czechia,49.721889,17.520088,Střední Morava,Nemocnice Šternberk,15.954558826342051,Okres Olomouc,Město Libavá,12.5,12.74509804,12.20472441,71.25,73.52941176,68.50393701,16.25,13.7254902,19.29133858,42.975,41.39215686,44.88188976,130,CZ0712,500160.0,Vojenská nemocnice,22.415819437719993
