Okres,Obec,0-14_let_celkem,0-14_let_muzi,0-14_let_zeny,15-64_let_celkem,15-64_let_muzi,15-64_let_zeny,65+_let_celkem,65+_let_muzi,65+_let_zeny,Prumerny_vek_celkem,Prumerny_vek_muzi,Prumerny_vek_zeny,Index_stari
Okres Tachov,Benešovice,18.43137255,17.05426357,19.84126984,65.49019608,69.76744186,61.11111111,16.07843137,13.17829457,19.04761905,40.61764706,39.9496124,41.3015873,87.23404255
Okres Tachov,Bezdružice,16.433942,18.00847458,14.81481481,63.48012889,65.25423729,61.65577342,20.08592911,16.73728814,23.52941176,42.80719656,41.0529661,44.61111111,122.2222222
Okres Tachov,Bor,13.04970342,13.70514483,12.46118012,70.52566987,71.63856463,69.52639752,16.42462671,14.65629053,18.01242236,42.03507875,40.82209252,43.1242236,125.862069
Okres Tachov,Brod nad Tichou,15.81027668,15.625,16,65.2173913,66.40625,64,18.97233202,17.96875,20,41.90316206,40.8828125,42.948,120
Okres Tachov,Broumov,17.03703704,16.90140845,17.1875,69.62962963,69.01408451,70.3125,13.33333333,14.08450704,12.5,40.32962963,41.42957746,39.109375,78.26086957
Okres Tachov,Cebiv,15.29411765,12.5,18.48739496,68.62745098,72.05882353,64.70588235,16.07843137,15.44117647,16.80672269,41.20588235,41.76470588,40.56722689,105.1282051
Okres Tachov,Ctiboř,10.49382716,11.18012422,9.81595092,60.49382716,63.97515528,57.05521472,29.01234568,24.8447205,33.12883436,46.73765432,45.02173913,48.43251534,276.4705882
Okres Tachov,Částkov,14.48863636,14.83516484,14.11764706,66.76136364,67.03296703,66.47058824,18.75,18.13186813,19.41176471,42.84090909,42.44505495,43.26470588,129.4117647
Okres Tachov,Černošín,14.04682274,15.30612245,12.82894737,65.13377926,67.17687075,63.15789474,20.81939799,17.5170068,24.01315789,44.02090301,42.38605442,45.60197368,148.2142857
Okres Tachov,Dlouhý Újezd,17,14.21319797,19.7044335,66,69.54314721,62.56157635,17,16.24365482,17.73399015,41.0075,42.08883249,39.95812808,100
Okres Tachov,Erpužice,13.79310345,13.91752577,13.63636364,67.81609195,70.10309278,64.93506494,18.3908046,15.97938144,21.42857143,44.25,42.79896907,46.07792208,133.3333333
Okres Tachov,Halže,15.31365314,15.55555556,15.07352941,69.64944649,68.88888889,70.40441176,15.03690037,15.55555556,14.52205882,40.33118081,40.72962963,39.93566176,98.19277108
Okres Tachov,Horní Kozolupy,14.91935484,12.5984252,17.3553719,63.70967742,65.35433071,61.98347107,21.37096774,22.04724409,20.66115702,43.03225806,43.83858268,42.18595041,143.2432432
Okres Tachov,Hošťka,16.44736842,13.55932203,19.54545455,68.42105263,68.22033898,68.63636364,15.13157895,18.22033898,11.81818182,39.98684211,41.65677966,38.19545455,92
